代號,名稱,年/月,營業毛利率,營業毛利成長率,已實現銷貨毛利率,已實現銷貨毛利成長率,已實現銷貨毛利成長率(%)
3494,誠研,2023/09,8.80 ,(68.90),8.80 ,(68.90),0.31 
5426,振發,2023/03,13.03 ,67.27 ,13.03 ,67.27 ,1.67 
5426,振發,2023/06,10.98 ,(64.65),10.98 ,(64.65),0.35 
5426,振發,2023/09,21.30 ,(29.34),21.30 ,(29.34),0.71 
6206,飛捷,2023/03,33.14 ,(49.38),33.14 ,(49.38),0.51 
6206,飛捷,2023/06,37.91 ,(42.43),37.91 ,(42.43),0.58 
6206,飛捷,2023/09,38.35 ,(42.60),38.35 ,(42.60),0.57 
1569,濱川,2023/03,1.72 ,(94.99),1.72 ,(94.99),0.05 
1569,濱川,2023/06,12.73 ,(56.74),12.73 ,(56.74),0.43 
1569,濱川,2023/09,13.00 ,(30.68),13.00 ,(30.68),0.69 
8210,勤誠,2023/03,16.47 ,(28.67),16.47 ,(28.67),0.71 
8210,勤誠,2023/06,23.59 ,10.62 ,23.59 ,10.62 ,1.11 
8210,勤誠,2023/09,23.76 ,(21.61),23.76 ,(21.61),0.78 
5438,東友,2023/03,7.20 ,(49.76),7.20 ,(49.76),0.50 
5438,東友,2023/06,18.89 ,(5.57),18.89 ,(5.57),0.94 
5438,東友,2023/09,16.23 ,(47.26),16.23 ,(47.26),0.53 
3071,協禧,2023/03,29.01 ,4.66 ,29.01 ,4.66 ,1.05 
3071,協禧,2023/06,31.23 ,6.90 ,31.23 ,6.90 ,1.07 
3071,協禧,2023/09,29.82 ,(20.47),29.82 ,(20.47),0.80 
8114,振樺電,2023/03,36.60 ,(6.97),36.60 ,(6.97),0.93 
8114,振樺電,2023/06,39.05 ,(3.22),39.05 ,(3.22),0.97 
8114,振樺電,2023/09,40.01 ,(18.67),40.01 ,(18.67),0.81 
